TANK_ID,TRACK_MILES,ENGINE_HOURS,MAIN_GUN_ROUNDS,FIRE_CONTROL_SYSTEM_FAULTS,ELECTRICAL_SYSTEM_FAULTS,POWERTRAIN_FAILURES,HYDRAULIC_SYSTEM_FAILURES,ROADWHEEL_ARM_WEAR,TRACK_LINK_WEAR,TORSION_BAR_DEGRADATION,EXTREME_COLD_MILES,EXTREME_HEAT_MILES,TERRAIN_SEVERE_MILES,UP_ARMOR_LOAD_HOURS,COMBAT_OPERATIONS_COUNT,IDLE_HOURS,TURRET_SLEW_CYCLES,FAULT_CODES_ACCUMULATED,TRANSMISSION_TEMP_EVENTS,FUEL_EFFICIENCY_DEGRADATION
TANK001,1895.0,620.4,1008.2,1319.6,259.3,509.0,1018.0,977.0,437.2,501.0,232.3,251.6,211.9,48.1,177.9,689.7,569.6,401.6,71.2,116.1
TANK002,1481.4,1055.5,576.8,623.8,514.6,393.0,878.0,1292.6,467.7,194.5,174.4,316.6,165.3,130.4,168.2,716.3,273.4,324.5,71.0,137.8
TANK003,1446.0,982.0,977.6,924.4,494.7,140.9,634.7,1049.3,475.7,214.8,197.4,181.6,285.5,154.8,203.8,318.1,299.1,346.8,28.4,60.2
TANK004,1331.7,1721.3,890.6,1158.4,530.8,208.9,1055.6,1437.2,354.8,501.8,331.1,294.5,262.3,175.2,119.1,578.1,491.0,224.4,25.9,51.9
TANK005,1424.7,1632.6,830.0,1332.3,572.6,547.7,653.8,1244.8,494.1,462.0,206.9,322.2,262.2,145.7,152.8,324.2,511.3,285.5,30.8,60.5
TANK006,1219.9,824.4,409.9,1384.3,409.6,130.3,528.3,1093.9,631.4,327.6,149.9,101.1,278.1,89.2,103.7,841.1,498.0,418.4,76.9,39.4
TANK007,1983.9,1510.6,875.1,1342.7,682.0,470.1,541.0,1575.0,567.0,454.6,247.3,165.0,285.5,45.2,129.8,403.7,570.8,459.4,32.7,135.9
TANK008,1479.7,1700.1,672.2,1172.8,801.4,151.1,912.1,1418.5,686.7,471.6,137.2,183.4,62.8,166.6,112.4,422.2,267.2,192.6,34.3,46.4
TANK009,970.3,1134.8,462.1,996.4,797.8,498.0,777.5,1406.8,653.0,279.2,129.1,141.0,205.9,147.8,85.7,710.6,432.6,323.8,60.8,49.8
TANK010,1706.5,1577.9,597.6,579.0,482.3,199.0,721.2,1315.3,352.2,595.3,268.3,231.6,309.2,132.1,83.4,562.7,510.5,294.2,29.5,93.0
TANK011,1250.4,586.9,542.0,920.0,709.5,315.9,779.5,737.3,482.6,321.3,362.7,194.0,214.4,58.1,93.9,536.5,431.9,328.0,25.4,127.3
TANK012,1207.7,723.8,566.6,528.3,366.7,487.2,803.2,758.3,326.4,381.9,231.8,356.0,179.3,182.6,213.1,566.2,350.6,231.5,68.2,132.3
TANK013,2058.3,1468.7,950.6,1189.4,741.7,423.0,832.8,578.5,682.7,198.4,181.2,157.6,219.1,51.9,131.4,481.7,292.0,271.9,78.0,52.8
TANK014,1473.3,837.1,427.9,908.0,832.8,391.2,746.8,1088.5,375.4,527.3,293.8,110.8,275.2,160.3,175.9,436.6,555.6,294.5,47.8,120.4
TANK015,855.6,911.1,1147.5,962.3,667.1,449.2,691.3,1008.3,581.4,326.3,342.3,267.1,62.4,185.1,77.6,526.7,403.3,307.5,47.8,106.0
TANK016,1247.3,1018.5,679.0,1032.3,618.1,404.6,646.3,1067.5,484.3,633.1,257.5,232.5,212.5,132.2,88.9,622.7,336.8,292.1,87.3,71.6
TANK017,1422.0,1312.2,552.6,589.4,403.1,252.8,999.5,1574.6,254.8,315.4,257.6,340.2,217.5,139.8,152.6,443.7,495.1,324.2,29.4,143.2
TANK018,1291.0,1475.2,967.3,1142.8,711.1,263.1,976.3,746.2,513.3,549.8,171.4,305.6,88.3,153.8,186.7,727.0,472.1,224.8,51.7,99.1
TANK019,751.4,807.0,1021.9,924.2,840.9,546.8,543.9,1381.3,397.4,361.9,194.6,147.6,86.0,144.4,125.4,401.6,383.4,431.0,71.0,87.1
TANK020,869.0,1104.6,724.3,670.7,707.2,382.5,659.9,1097.1,387.9,326.6,235.1,214.6,71.3,159.1,89.5,622.3,258.6,227.5,80.2,92.7
TANK021,1496.7,763.9,596.5,739.5,465.6,310.6,697.7,663.0,655.8,301.3,239.8,295.6,286.8,43.3,163.5,425.9,443.0,287.5,31.0,73.9
TANK022,898.6,1666.1,688.9,1274.7,553.8,407.5,962.2,1451.3,368.7,197.9,190.5,299.1,269.7,100.0,79.8,517.4,588.5,321.1,28.2,128.9
TANK023,1432.8,1092.2,1196.5,900.9,201.5,527.0,706.7,1377.2,433.7,381.5,121.9,379.2,126.6,192.6,160.2,803.5,285.5,392.6,31.4,63.9
TANK024,1895.6,1130.2,711.5,1287.9,765.8,172.2,785.9,1554.5,610.9,535.1,228.2,374.6,237.9,179.8,187.6,356.3,270.5,326.9,76.9,127.8
TANK025,1014.8,603.2,675.8,717.7,640.0,291.3,618.6,1494.4,317.9,319.9,122.9,109.9,200.4,73.1,150.1,464.9,483.3,215.1,61.2,35.8
TANK026,738.4,1118.8,710.3,751.4,574.5,304.4,963.4,886.1,519.8,437.8,133.0,268.1,133.6,184.7,173.6,696.3,529.0,180.3,24.8,108.5
TANK027,730.4,1637.8,832.7,1353.3,738.2,336.4,352.4,1177.2,599.6,615.3,274.2,91.6,270.3,48.2,151.1,618.0,519.2,384.7,50.1,65.2
TANK028,1393.9,1022.3,903.6,739.8,783.2,325.9,814.3,1442.2,262.3,227.4,355.7,274.5,292.7,179.7,208.7,615.2,240.1,212.9,46.6,133.2
TANK029,1606.7,1392.8,819.9,1209.0,563.9,490.3,1026.8,1478.5,378.7,362.5,377.4,362.6,128.5,83.7,166.6,564.7,407.5,479.5,95.3,131.4
TANK030,2136.8,1060.9,878.3,1122.4,322.6,528.6,1150.4,1086.3,681.7,554.4,248.1,122.8,107.1,183.2,83.6,307.0,535.7,273.2,78.5,75.0
TANK031,1751.4,1211.2,1175.0,1305.4,404.1,149.3,1037.0,941.7,663.1,310.8,359.3,216.6,303.8,48.8,207.2,402.0,579.9,236.6,65.5,111.8
TANK032,1280.1,1205.8,1025.2,821.0,498.3,431.3,396.5,928.7,345.5,363.9,142.9,190.3,301.9,44.2,199.6,614.2,527.7,258.0,42.1,74.4
TANK033,2137.9,801.3,618.0,1356.8,244.4,162.0,949.5,792.9,439.3,361.3,362.8,129.2,267.4,147.4,69.4,563.4,246.1,335.0,57.4,39.0
TANK034,1934.6,1308.5,467.2,867.3,351.6,289.6,1195.4,744.8,413.0,250.6,193.9,217.3,117.9,114.2,80.4,364.1,303.9,211.1,87.3,96.7
TANK035,1841.0,1617.7,754.0,750.0,246.8,289.3,788.2,791.4,369.2,343.2,200.1,256.7,119.6,65.4,212.9,513.5,524.3,227.9,78.0,67.8
TANK036,1323.9,1427.1,1093.5,1183.6,224.9,284.2,470.2,923.6,560.2,223.6,269.4,320.1,123.0,187.1,185.0,826.1,436.4,443.8,28.5,67.9
TANK037,826.4,1357.3,929.9,543.3,429.1,249.9,562.0,695.4,547.2,170.2,150.4,167.3,193.4,93.8,200.1,705.1,538.7,274.3,24.3,77.1
TANK038,869.5,855.0,499.5,965.1,497.8,326.8,476.2,593.3,715.2,305.6,130.0,331.3,77.8,141.0,163.2,802.2,568.8,489.4,52.2,86.8
TANK039,1713.9,773.9,948.7,552.2,785.5,464.7,1134.2,719.3,334.7,244.5,136.4,192.4,66.5,122.9,181.1,452.0,520.4,461.9,76.7,123.6
TANK040,1157.0,1229.2,588.0,851.4,754.2,244.5,1018.9,1189.2,402.9,635.9,357.9,261.7,226.6,100.4,90.2,504.4,517.5,271.7,81.6,42.1
TANK041,1364.7,1093.8,407.3,1233.5,334.5,162.5,679.8,1514.1,663.0,435.6,413.9,320.4,174.2,75.8,134.0,673.2,252.8,480.7,83.4,112.1
