TANK_ID,TRACK_MILES,ENGINE_HOURS,MAIN_GUN_ROUNDS,FIRE_CONTROL_SYSTEM_FAULTS,ELECTRICAL_SYSTEM_FAULTS,POWERTRAIN_FAILURES,HYDRAULIC_SYSTEM_FAILURES,ROADWHEEL_ARM_WEAR,TRACK_LINK_WEAR,TORSION_BAR_DEGRADATION,EXTREME_COLD_MILES,EXTREME_HEAT_MILES,TERRAIN_SEVERE_MILES,UP_ARMOR_LOAD_HOURS,COMBAT_OPERATIONS_COUNT,IDLE_HOURS,TURRET_SLEW_CYCLES,FAULT_CODES_ACCUMULATED,TRANSMISSION_TEMP_EVENTS,FUEL_EFFICIENCY_DEGRADATION
TANK001,1316.3,869.3,678.3,799.4,453.2,329.7,728.6,804.5,427.6,302.6,207.0,183.5,133.3,89.0,132.8,513.7,357.6,302.1,50.3,106.3,75.1
TANK002,1474.7,1020.6,719.4,1047.9,437.7,308.2,643.6,1053.6,491.0,428.4,269.4,205.3,194.5,103.2,142.5,607.6,429.5,356.6,54.0,144.8,67.1
TANK003,867.0,690.3,469.1,613.1,254.5,201.3,505.0,665.5,314.1,234.4,143.0,136.9,95.5,68.1,79.0,409.7,259.0,206.8,37.3,89.7,49.8
TANK004,1682.8,1307.5,969.9,961.4,462.4,367.4,743.3,984.1,590.9,502.7,280.3,254.0,198.2,141.4,165.9,590.2,426.7,371.6,65.1,164.3,100.5
TANK005,1106.9,798.5,736.1,763.5,326.4,250.2,528.0,818.8,416.2,289.1,161.8,147.9,138.8,77.5,120.2,500.8,300.7,280.3,41.0,104.9,55.7
TANK006,1949.0,1228.9,1017.8,1183.5,705.6,503.3,875.3,1269.5,575.8,586.3,391.2,279.0,252.9,162.7,180.1,782.4,533.6,458.8,84.4,163.3,101.9
TANK007,690.9,656.2,470.1,574.9,202.5,134.8,424.7,659.0,253.3,182.5,108.3,98.0,76.6,44.4,66.3,329.6,229.1,201.1,25.7,64.2,39.5
TANK008,1594.4,1046.9,791.4,1091.8,506.9,349.9,735.0,894.9,451.8,408.7,281.0,208.0,169.6,103.7,156.0,546.5,472.8,378.7,52.4,134.6,83.6
TANK009,985.5,751.4,691.2,745.4,343.1,284.4,637.2,764.2,345.1,309.4,189.7,161.3,140.5,90.8,129.2,435.6,356.7,272.5,47.6,106.8,58.2
TANK010,2052.8,1511.0,1099.3,1251.1,814.0,520.1,1135.4,1420.0,643.9,667.2,420.7,366.2,305.7,195.0,199.1,829.6,544.6,474.7,85.6,202.2,135.8
