TANK_ID,TRACK_MILES,ENGINE_HOURS,MAIN_GUN_ROUNDS,FIRE_CONTROL_SYSTEM_FAULTS,ELECTRICAL_SYSTEM_FAULTS,POWERTRAIN_FAILURES,HYDRAULIC_SYSTEM_FAILURES,ROADWHEEL_ARM_WEAR,TRACK_LINK_WEAR,TORSION_BAR_DEGRADATION,EXTREME_COLD_MILES,EXTREME_HEAT_MILES,TERRAIN_SEVERE_MILES,UP_ARMOR_LOAD_HOURS,COMBAT_OPERATIONS_COUNT,IDLE_HOURS,TURRET_SLEW_CYCLES,FAULT_CODES_ACCUMULATED,TRANSMISSION_TEMP_EVENTS,FUEL_EFFICIENCY_DEGRADATION
TANK001,1347.4,1104.6,632.7,749.2,482.4,299.7,606.5,903.4,442.6,367.8,230.2,185.4,162.9,90.6,126.6,560.4,409.5,303.1,41.9,136.6,61.0
TANK002,1516.7,966.4,791.9,980.8,461.9,300.7,663.9,944.6,451.5,355.2,228.3,215.8,174.8,105.7,123.0,597.6,470.6,345.0,52.6,145.1,78.9
TANK003,844.0,740.8,544.4,605.6,266.8,203.6,470.3,655.1,364.9,280.0,152.0,111.9,102.2,72.3,75.4,418.4,247.6,233.7,33.8,96.3,50.8
TANK004,1452.4,1206.9,997.0,1005.9,544.9,371.4,827.0,1023.5,496.4,396.8,327.9,250.9,225.0,133.9,159.2,557.7,515.3,405.9,77.0,155.4,93.0
TANK005,1213.2,823.5,609.2,712.9,366.1,277.2,646.7,859.3,348.7,278.7,180.8,171.2,133.6,75.7,116.0,411.3,306.7,293.4,35.7,112.9,65.9
TANK006,1842.9,1313.3,909.2,1048.8,704.0,502.7,837.1,1223.3,657.8,508.4,310.5,329.1,247.1,148.9,219.6,700.5,597.5,447.1,93.3,181.7,109.9
TANK007,850.2,597.7,438.0,544.8,239.8,169.7,381.3,562.6,306.8,184.6,116.0,87.8,66.7,46.1,66.5,315.2,219.6,202.1,24.9,77.5,41.1
TANK008,1687.2,1197.0,931.8,958.6,515.6,367.0,642.9,1112.2,521.0,380.2,289.2,232.8,205.9,117.3,134.2,586.6,428.5,350.2,58.5,126.7,78.4
TANK009,992.7,931.3,590.6,822.7,332.0,255.2,511.6,902.9,343.9,334.8,203.1,165.4,125.9,96.2,122.3,473.4,398.3,247.7,46.6,102.6,65.1
TANK010,2206.2,1720.9,1042.7,1422.7,778.9,537.8,937.3,1561.7,641.0,610.1,351.9,363.4,249.4,181.5,206.4,822.2,595.7,449.0,91.3,196.6,117.0
